"Date   : 29-07-20 [10:20, Asi]                        Open Entries by Business Partner                                                                                Page      :    1",,,,,,,,,,,,
Obeikan FLEXIBLE                                                                                                                                                      Company   : 103,,,,,,,,,,,,
Company              From : 000           To   : 999         Business Partner Gr.     From :       To   : ннн       Credit Analyst       From :           To   : ннннннннн,,,,,,,,,,,,
Business Partner     From : CHA002        To   : CHA002      Transaction Type         From :       To   : ннн,,,,,,,,,,,,
Document             From :        0      To   : 99999999    Home Currency                 : SAR Saudi Riyal,,,,,,,,,,,,
Based  on                   Document Date                    Print Parent/Child Relation   : No Parent                 Doubtful Invoices                      : No,,,,,,,,,,,,
Invoice Date         From :               To   : 29-07-2020  Text                          : No                        Print Payment/Receipt Documents        : No,,,,,,,,,,,,
Receipt Date         From :               To   : 29-07-2020  Include Anticipated Payments in Invoice Balance         : No              From    : Not Applicable,,,,,,,,,,,,
Order Related Invoices    : No       None,,,,,,,,,,,,
Order Related Credit Notes: No                               Include Trade Notes in Invoice Balance                  : No              From    : Not Applicable,,,,,,,,,,,,
Cost Invoices             : No                               Anticipated Payments                                    : No              From    : Not Applicable,,,,,,,,,,,,
Cost Credit Notes         : No                               Trade Notes                                             : No              From    : Not Applicable,,,,,,,,,,,,
Normal Invoices           : Yes                              Unallocated Receipts          : Yes,,,,,,,,,,,,
Credit Notes              : Yes                              Advance Receipts              : Yes,,,,,,,,,,,,
Include Fully Paid        : No                               Include Advance Invoice/Payment Request           : Yes,,,,,,,,,,,,
Anticipated Receipts      : No                               From Receipt Procedure Step    : Not Applicable,,,,,,,,,,,,
Trade Notes               : No                               From Receipt Procedure Step    : Not Applicable,,,,,,,,,,,,
Include Anticipated Receipts in Invoice Balance    : No      From Receipt Procedure Step    : Not Applicable,,,,,,,,,,,,
Include Trade Notes in Invoice Balance             : No      From Receipt Procedure Step    : Not Applicable,,,,,,,,,,,,
Sort By         Dimension Type            :  1,,,,,,,,,,,,
____________________________________________________________________________________________________________________________________________________________________________________________,,,,,,,,,,,,
Document                 ,Sales Type  ,Doc. Date   ,Due Date    ,Ovd  ,Prob,Curr.,          Amount,     Amount In SAR,   Balance Amount,  Balance in HC SAR,Customer Invoice/Pmt Doc Type,
Sales Invoices        Business Partner    : CHA002               HAIL AGRICULTURE DEVELOPMENT CO,,,,,,,,,,,,
                                                                 POBOX 106                            POBOX 106,,,,,,,,,,,,
Company              : 103,,,,,,,,,,,,
ISI 21932161   0        0,1, 13-10-2019 , 11-01-2020 ,200,    , SAR ,"6,073.20","6,073.20","6,073.20","6,073.20",                    ,D01061819
ISI 22030988   0        0,1, 28-04-2020 , 27-07-2020 ,2,    , SAR ,"20,241.90","20,241.90","20,241.90","20,241.90",                    ,D01064785
ISI 22031266   0        0,1, 07-06-2020 , 05-09-2020 ,     ,    , SAR ,"36,829.01","36,829.01","36,829.01","36,829.01",                    ,D01065253
ISI 22031592   0        0,1, 09-07-2020 , 07-10-2020 ,     ,    , SAR ,"39,488.13","39,488.13","39,488.13","39,488.13",                    ,D01065782
ISI 22031657   0        0,1, 19-07-2020 , 17-10-2020 ,     ,    , SAR ,"51,723.49","51,723.49","51,723.49","51,723.49",                    ,D01065913
"               Sales Invoices          TOTAL FOR BUSINESS PARTNER     CHA002                               154,355.73                            154,355.73",,,,,,,,,,,,
                                       Total for Currency                  , SAR ,"154,355.73",                  ,"154,355.73",,,,,,,,
                                                                                                   ------------------                    ------------------,,,,,,,,,,,,
"                                                                            TOTAL                          154,355.73                            154,355.73",,,,,,,,,,,,
                                                                                                   ==================                    ==================,,,,,,,,,,,,
                                       Total for Currency                  , SAR ,"154,355.73",                  ,"154,355.73",,,,,,,,
